Country Name,Country Code,Series Name,Series Code,2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022]
Afghanistan,AFG,GDP (current US$),NY.GDP.MKTP.CD,4520946849.32079,5224896718.67782,6203256497.09044,6971758332.88917,9747886104.53251,10109296957.6569,12416152648.0573,15856668496.388,17805098367.2952,19907329905.9776,20146416876.3886,20497128600.3363,19134221744.5294,18116572399.1298,18753456506.5708,18053222734.8881,18799444414.5998,19955929060.841,14266499429.8746,..
Albania,ALB,GDP (current US$),NY.GDP.MKTP.CD,5611496257.14231,7184685781.51876,8052077248.14638,8896075004.63516,10677324852.8822,12881352893.6855,12044205549.6571,11926926615.8015,12890760315.146,12319834195.331,12776224496.9718,13228147516.1168,11386853113.0189,11861199830.8396,13019726211.7369,15156424015.1977,15401826127.2539,15162734205.2462,17930565118.8176,18916378860.5488
Algeria,DZA,GDP (current US$),NY.GDP.MKTP.CD,67863850333.9526,85332581188.6107,103198212442.69,117027280155.386,134977082623.78,171000699876.747,137211003661.699,161207307027.185,200013098817.25,209059080929.499,209755003250.664,213809979836.314,165979224866.131,160034212126.018,170096988531.906,174910684781.571,171760275466.61,145743542982.628,163472387986.768,194998449769.085
American Samoa,ASM,GDP (current US$),NY.GDP.MKTP.CD,524000000,509000000,500000000,493000000,518000000,560000000,675000000,573000000,570000000,640000000,638000000,643000000,673000000,671000000,612000000,639000000,647000000,721000000,750000000,871000000
Andorra,AND,GDP (current US$),NY.GDP.MKTP.CD,2361636235.17833,2895047587.11888,3159826891.50873,3456264324.63015,3952395030.09698,4085780202.87838,3674190066.44504,3449925693.58181,3629133062.55168,3188653258.61001,3193513470.43941,3271686452.47686,2789882569.1005,2896611878.6258,3000160414.63795,3218418631.67579,3155150255.91195,2891002460.29153,3325143693.28714,3352031094.22914
Angola,AGO,GDP (current US$),NY.GDP.MKTP.CD,17812704627.0282,23552057820.4599,36970901023.7893,52381025102.321,65266415706.9741,88538664884.265,70307196474.1272,83799473759.7201,111789747670.59,128052915202.989,132339108708.408,135966802156.542,90496420626.179,52761617225.9253,73690155046.555,79450688232.0011,70897962712.6213,48501561230.001,66505129989.243,106782770714.619
Antigua and Barbuda,ATG,GDP (current US$),NY.GDP.MKTP.CD,856396296.296296,919729629.62963,1022962962.96296,1157662962.96296,1312759259.25926,1370070370.37037,1228329629.62963,1148700000,1281337037.03704,1327107407.40741,1325425925.92593,1378829629.62963,1437755555.55556,1489692592.59259,1531151851.85185,1661529629.62963,1725351851.85185,1410796296.2963,1601366666.66667,1867733333.33333
Argentina,ARG,GDP (current US$),NY.GDP.MKTP.CD,127586973492.177,164657930452.787,198737095012.282,232557260817.308,287530508430.568,361558037110.419,332976484577.619,423627422092.49,530158122010.442,545982375701.128,552025140252.246,526319673731.638,594749285413.212,557532320662.955,643628393281.364,524819892360.176,447754683615.225,385740508436.965,487902572164.348,631133384439.944
Armenia,ARM,GDP (current US$),NY.GDP.MKTP.CD,2807061008.69084,3576615240.41616,4900469511.10191,6384452066.5146,9206301269.79164,11662040713.8753,8647937081.2562,9260285755.62424,10142111824.5835,10619320682.9474,11121464437.0415,11609513246.7958,10553337518.414,10546136235.5219,11527458709.0158,12457940694.7395,13619290539.2116,12641698583.2152,13878908628.9378,19513474648.2429
Aruba,ABW,GDP (current US$),NY.GDP.MKTP.CD,2044111731.84358,2254830726.25698,2360017318.43575,2469782681.56425,2677641340.78212,2843024581.00559,2553793296.08939,2453597206.70391,2637859217.87709,2615208379.88827,2727849720.67039,2790849720.67039,2962907262.56983,2983635195.53073,3092429050.27933,3276184357.5419,3395798882.68156,2558906303.88098,3103184101.51354,3544707788.05664
Australia,AUS,GDP (current US$),NY.GDP.MKTP.CD,467739079790.332,614659980082.515,695692898676.56,748417562769.636,855007458585.224,1056112427190.38,928762122698.05,1148890200292.42,1398701323029.63,1547649835732.89,1577301840200.01,1468597690006.22,1351768945139.11,1207580901578.72,1326882104817,1429733668185.91,1394671325960.57,1330381544909.3,1559033756285.13,1692956646855.7
Austria,AUT,GDP (current US$),NY.GDP.MKTP.CD,262273631180.054,301457562038.541,316092273276.015,336280064332.411,389185571506.052,432051935642.945,401758735822.211,392275107258.667,431685217367.511,409401816050.531,430190979705.962,442584815286.034,381971148530.543,395837353031.499,417261151844.977,454991174096.102,444596155845.254,435049316955.737,479295362747.047,470941926750.741
